Count,snowDepth,Calibration,Distance Measured,Datetime,Latitude,Longitude,Altitude,Sat Count,HDOP,GGA,RMC
92,73,190,117,0000-00-00 00:00:00+0000,43.302538,-115.280935,1657.5341,29,0.5,"$GPGGA,224150.60,4318.1522610,N,11516.8561029,W,2,29,0.5,1657.5341,M,-18.2525,M,4.2,0131*42","$GPRMC,224150.80,A,4318.1522602,N,11516.8561051,W,0.0,,060225,12.3,E,D*35"
93,78,190,112,0000-00-00 00:00:00+0000,43.302501,-115.280936,1657.5518,28,0.5,"$GPGGA,224206.40,4318.1500300,N,11516.8561385,W,2,28,0.5,1657.5518,M,-18.2526,M,2.1,0131*4C","$GPRMC,224206.60,A,4318.1500282,N,11516.8561383,W,0.0,,060225,12.3,E,D*3B"
94,79,190,111,0000-00-00 00:00:00+0000,43.302458,-115.280935,1657.7196,30,0.5,"$GPGGA,224222.00,4318.1474613,N,11516.8560923,W,2,30,0.5,1657.7196,M,-18.2526,M,5.6,0131*45","$GPRMC,224222.20,A,4318.1474644,N,11516.8560958,W,0.0,,060225,12.3,E,D*38"
95,82,190,108,0000-00-00 00:00:00+0000,43.302415,-115.280931,1658.0642,30,0.5,"$GPGGA,224240.00,4318.1448890,N,11516.8558602,W,2,30,0.5,1658.0642,M,-18.2526,M,5.6,0131*4A","$GPRMC,224240.20,A,4318.1448923,N,11516.8558552,W,0.1,,060225,12.3,E,D*31"
96,77,190,113,0000-00-00 00:00:00+0000,43.302377,-115.280931,1658.0368,29,0.5,"$GPGGA,224257.80,4318.1426348,N,11516.8558836,W,2,29,0.5,1658.0368,M,-18.2526,M,5.4,0131*4C","$GPRMC,224257.80,A,4318.1426348,N,11516.8558836,W,0.0,,060225,12.3,E,D*3C"
97,80,190,110,0000-00-00 00:00:00+0000,43.302339,-115.280924,1658.2977,28,0.5,"$GPGGA,224320.40,4318.1403436,N,11516.8554464,W,2,28,0.5,1658.2977,M,-18.2526,M,4.0,0131*4D","$GPRMC,224320.60,A,4318.1403452,N,11516.8554453,W,0.0,,060225,12.3,E,D*3B"
98,84,190,106,0000-00-00 00:00:00+0000,43.302298,-115.280921,1657.8746,29,0.5,"$GPGGA,224358.20,4318.1378862,N,11516.8552308,W,2,29,0.5,1657.8746,M,-18.2526,M,5.8,0131*48","$GPRMC,224358.40,A,4318.1378947,N,11516.8552313,W,0.0,,060225,12.3,E,D*31"
99,86,190,104,0000-00-00 00:00:00+0000,43.302263,-115.280922,1658.8137,28,0.5,"$GPGGA,224425.40,4318.1357766,N,11516.8553370,W,2,28,0.5,1658.8137,M,-18.2526,M,3.0,0131*4B","$GPRMC,224425.60,A,4318.1357704,N,11516.8553342,W,0.0,,060225,12.3,E,D*3F"
100,85,190,105,0000-00-00 00:00:00+0000,43.302227,-115.280919,1658.3172,28,0.5,"$GPGGA,224747.60,4318.1336425,N,11516.8551641,W,2,28,0.5,1658.3172,M,-18.2526,M,1.2,0131*42","$GPRMC,224747.80,A,4318.1336429,N,11516.8551583,W,0.1,,060225,12.3,E,D*35"
101,82,190,108,0000-00-00 00:00:00+0000,43.302186,-115.28092,1658.6403,29,0.5,"$GPGGA,224925.60,4318.1311897,N,11516.8551721,W,2,29,0.5,1658.6403,M,-18.2526,M,3.2,0131*4A","$GPRMC,224925.80,A,4318.1311878,N,11516.8551705,W,0.0,,060225,12.3,E,D*3F"
102,83,190,107,0000-00-00 00:00:00+0000,43.30214,-115.280921,1658.6428,29,0.5,"$GPGGA,224942.20,4318.1284154,N,11516.8552730,W,2,29,0.5,1658.6428,M,-18.2526,M,1.8,0131*46","$GPRMC,224942.40,A,4318.1284094,N,11516.8552811,W,0.0,,060225,12.3,E,D*3C"
103,77,190,113,0000-00-00 00:00:00+0000,43.302098,-115.280915,1658.7055,29,0.5,"$GPGGA,224952.60,4318.1258678,N,11516.8549224,W,2,29,0.5,1658.7055,M,-18.2526,M,2.6,0131*43","$GPRMC,224952.80,A,4318.1258707,N,11516.8549234,W,0.0,,060225,12.3,E,D*3A"
104,86,190,104,2025-02-06 22:50:06+0000,43.302056,-115.280919,1658.5043,28,0.5,"$GPGGA,225005.80,4318.1233439,N,11516.8551432,W,2,28,0.5,1658.5043,M,-18.2527,M,1.5,0131*40","$GPRMC,225006.00,A,4318.1233459,N,11516.8551482,W,0.0,,060225,12.3,E,D*3C"
105,75,190,115,0000-00-00 00:00:00+0000,43.302008,-115.28092,1658.3754,28,0.5,"$GPGGA,225019.40,4318.1205000,N,11516.8551741,W,2,28,0.5,1658.3754,M,-18.2527,M,3.1,0131*4C","$GPRMC,225019.60,A,4318.1205008,N,11516.8551692,W,0.0,,060225,12.3,E,D*32"
106,75,190,115,2025-02-06 22:50:36+0000,43.301956,-115.280923,1658.3725,29,0.5,"$GPGGA,225035.80,4318.1173653,N,11516.8553996,W,2,29,0.5,1658.3725,M,-18.2527,M,1.4,0131*4A","$GPRMC,225036.00,A,4318.1173651,N,11516.8554046,W,0.0,,060225,12.3,E,D*3B"
107,83,190,107,0000-00-00 00:00:00+0000,43.301908,-115.280932,1658.3658,29,0.5,"$GPGGA,225054.00,4318.1144869,N,11516.8559022,W,2,29,0.5,1658.3658,M,-18.2527,M,5.2,0131*43","$GPRMC,225054.20,A,4318.1144868,N,11516.8559029,W,0.0,,060225,12.3,E,D*39"
108,75,190,115,0000-00-00 00:00:00+0000,43.301854,-115.280934,1657.8152,30,0.5,"$GPGGA,225110.00,4318.1112490,N,11516.8560598,W,2,30,0.5,1657.8152,M,-18.2527,M,11.6,0131*75","$GPRMC,225110.20,A,4318.1112521,N,11516.8560642,W,0.0,,060225,12.3,E,D*3A"
109,67,190,123,0000-00-00 00:00:00+0000,43.301799,-115.280947,1657.7562,30,0.5,"$GPGGA,225137.40,4318.1079466,N,11516.8568401,W,2,30,0.5,1657.7562,M,-18.2527,M,3.0,0131*45","$GPRMC,225137.60,A,4318.1079512,N,11516.8568420,W,0.0,,060225,12.3,E,D*39"
110,65,190,125,0000-00-00 00:00:00+0000,43.30175,-115.280954,1657.0692,28,0.5,"$GPGGA,225218.20,4318.1050012,N,11516.8572675,W,2,28,0.5,1657.0692,M,-18.2527,M,1.9,0131*42","$GPRMC,225218.40,A,4318.1050051,N,11516.8572678,W,0.0,,060225,12.3,E,D*38"
111,73,190,117,0000-00-00 00:00:00+0000,43.301696,-115.280962,1656.7899,30,0.5,"$GPGGA,225244.20,4318.1017331,N,11516.8576970,W,2,30,0.5,1656.7899,M,-18.2528,M,3.8,0131*42","$GPRMC,225244.40,A,4318.1017323,N,11516.8576958,W,0.0,,060225,12.3,E,D*3D"
112,77,190,113,0000-00-00 00:00:00+0000,43.301636,-115.280974,1656.3874,30,0.5,"$GPGGA,225305.40,4318.0981771,N,11516.8584637,W,2,30,0.5,1656.3874,M,-18.2528,M,3.4,0131*4D","$GPRMC,225305.60,A,4318.0981767,N,11516.8584589,W,0.0,,060225,12.3,E,D*35"
113,83,190,107,2025-02-06 22:53:28+0000,43.301583,-115.280983,1656.2421,30,0.5,"$GPGGA,225327.80,4318.0950093,N,11516.8589819,W,2,30,0.5,1656.2421,M,-18.2528,M,5.5,0131*43","$GPRMC,225328.00,A,4318.0950134,N,11516.8589849,W,0.1,,060225,12.3,E,D*3D"
114,84,190,106,0000-00-00 00:00:00+0000,43.301532,-115.280989,1655.7922,30,0.5,"$GPGGA,225352.00,4318.0919110,N,11516.8593265,W,2,30,0.5,1655.7922,M,-18.2528,M,5.7,0131*4E","$GPRMC,225352.20,A,4318.0919136,N,11516.8593283,W,0.0,,060225,12.3,E,D*3B"
115,82,190,108,2025-02-06 22:54:11+0000,43.301477,-115.280994,1655.6378,30,0.5,"$GPGGA,225410.80,4318.0885997,N,11516.8596573,W,2,30,0.5,1655.6378,M,-18.2528,M,4.5,0131*46","$GPRMC,225411.00,A,4318.0885981,N,11516.8596672,W,0.0,,060225,12.3,E,D*36"
116,78,190,112,0000-00-00 00:00:00+0000,43.301427,-115.280994,1655.4826,30,0.5,"$GPGGA,225431.20,4318.0855950,N,11516.8596304,W,2,30,0.5,1655.4826,M,-18.2528,M,2.9,0131*47","$GPRMC,225431.20,A,4318.0855950,N,11516.8596304,W,0.1,,060225,12.3,E,D*32"
117,65,190,125,0000-00-00 00:00:00+0000,43.301376,-115.280999,1655.3897,30,0.5,"$GPGGA,225459.40,4318.0825364,N,11516.8599638,W,2,30,0.5,1655.3897,M,-18.2529,M,3.1,0131*45","$GPRMC,225459.60,A,4318.0825348,N,11516.8599651,W,0.0,,060225,12.3,E,D*37"
118,72,190,118,2025-02-06 22:55:39+0000,43.301319,-115.281003,1655.1313,30,0.5,"$GPGGA,225538.80,4318.0791270,N,11516.8601917,W,2,30,0.5,1655.1313,M,-18.2529,M,4.5,0131*4D","$GPRMC,225539.00,A,4318.0791251,N,11516.8601912,W,0.0,,060225,12.3,E,D*35"
119,69,190,121,0000-00-00 00:00:00+0000,43.301266,-115.281011,1654.9504,30,0.5,"$GPGGA,225608.20,4318.0759893,N,11516.8606658,W,2,30,0.5,1654.9504,M,-18.2529,M,3.9,0131*45","$GPRMC,225608.40,A,4318.0759935,N,11516.8606586,W,0.1,,060225,12.3,E,D*3A"
120,73,190,117,0000-00-00 00:00:00+0000,43.301212,-115.281021,1654.0371,30,0.5,"$GPGGA,225705.20,4318.0727200,N,11516.8612485,W,2,30,0.5,1654.0371,M,-18.2529,M,2.9,0131*4B","$GPRMC,225705.40,A,4318.0727296,N,11516.8612470,W,0.1,,060225,12.3,E,D*30"
121,71,190,119,0000-00-00 00:00:00+0000,43.301158,-115.281025,1653.911,30,0.5,"$GPGGA,225737.20,4318.0694898,N,11516.8615003,W,2,30,0.5,1653.9110,M,-18.2529,M,2.9,0131*4E","$GPRMC,225737.40,A,4318.0694949,N,11516.8615013,W,0.0,,060225,12.3,E,D*36"
122,68,190,122,2025-02-06 22:58:05+0000,43.301103,-115.281031,1653.5656,30,0.5,"$GPGGA,225804.80,4318.0661862,N,11516.8618399,W,2,30,0.5,1653.5656,M,-18.2529,M,2.5,0131*4C","$GPRMC,225805.00,A,4318.0661890,N,11516.8618436,W,0.0,,060225,12.3,E,D*3D"
123,81,190,109,0000-00-00 00:00:00+0000,43.301051,-115.281037,1653.3248,29,0.5,"$GPGGA,225832.60,4318.0630601,N,11516.8622447,W,2,29,0.5,1653.3248,M,-18.2529,M,4.3,0131*40","$GPRMC,225832.80,A,4318.0630618,N,11516.8622464,W,0.0,,060225,12.3,E,D*35"
124,71,190,119,0000-00-00 00:00:00+0000,43.301002,-115.281042,1653.3526,29,0.5,"$GPGGA,225901.60,4318.0601337,N,11516.8624931,W,2,29,0.5,1653.3526,M,-18.2530,M,3.3,0131*49","$GPRMC,225901.80,A,4318.0601362,N,11516.8624983,W,0.1,,060225,12.3,E,D*3D"
125,79,190,111,0000-00-00 00:00:00+0000,43.300946,-115.281049,1652.3184,29,0.5,"$GPGGA,225923.60,4318.0567669,N,11516.8629447,W,2,29,0.5,1652.3184,M,-18.2530,M,1.3,0131*4A","$GPRMC,225923.80,A,4318.0567720,N,11516.8629502,W,0.1,,060225,12.3,E,D*34"
